Age,Height,Winner,Rank,Country Score,Country,Population,Literacy,Country Age,GDP pre capita,Beauty Score,Year
21,176,1,15,56,Albania,3020209,96.8,101,9383.456575,,2009
22,175,0,-1,95,Angola,19088106,70.4,38,6904.823349,,2009
23,182,0,-1,71,Argentina,43024374,97.9,197,17920.07479,,2009
22,179,0,-1,48,Aruba,102911,96.8,28,24924,,2009
21,176,1,3,119,Australia,22507617,99,112,44353.87362,,2009
26,168,0,-1,35,"Bahamas, The",321834,95.6,40,35421.98773,,2009
20,176,1,15,47,Belgium,10449361,99,183,40356.53472,,2009
22,180,0,-1,39,Bolivia,10631486,91.2,188,5559.900093,,2009
25,176,0,-1,145,Brazil,202656788,90.4,191,11921.63373,,2009
19,173,0,-1,35,Bulgaria,6924716,98.4,135,15105.31262,,2009
23,175,0,-1,89,Canada,34834841,99,146,43577.06125,,2009
26,175,0,-1,35,China,1355692576,95.1,64,9876.870492,,2009
18,180,0,-1,80,Colombia,46245297,93.6,203,11384.94148,,2009
22,174,0,-1,133,Costa Rica,4755234,96.3,192,12918.39687,,2009
21,175,0,-1,40,Croatia,4470534,98.9,22,17648.89832,,2009
20,178,1,15,43,Curacao,152760,80,35,36800,,2009
24,170,0,-1,49,Cyprus,1141000,98,54,25248,,2009
20,168,0,-1,39,Czech Republic,10627448,99,20,26873.80827,,2009
26,183,1,10,56,Denmark,5569077,99,1048,37941.65532,,2009
23,180,1,1,77,Dominican Republic,10349741,90.1,169,9758.698309,,2009
19,178,0,-1,44,Ecuador,15654411,91.6,191,10067.45,,2009
26,175,0,-1,35,Egypt,86895099,73.9,91,6345.582275,,2009
21,174,0,-1,51,El Salvador,6125512,84.5,192,7749.556282,,2009
25,181,0,-1,43,Estonia,1257921,99.8,95,23801.1767,,2009
19,172,0,-1,47,Ethiopia,96633458,39,117,1223.178829,,2009
19,174,0,-1,128,Finland,5268799,100,96,37105.23024,,2009
19,180,1,10,64,France,66259012,99,1170,34350.04434,,2009
19,175,0,-1,35,Georgia,9992000,99,280,3596,,2009
24,178,0,-1,85,Germany,80996685,99,142,39841.13671,,2009
23,180,0,-1,39,Ghana,25758108,71.5,56,3509.962766,,2009
27,173,0,-1,39,Great Britain,63742977,99,306,37447.26262,,2009
19,180,0,-1,81,Greece,10775557,97.3,184,24787.58175,,2009
24,168,0,-1,49,Guam,165124,95.91,79,28700,,2009
21,177,0,-1,40,Guatemala,14647083,75.9,192,5564.930574,,2009
19,173,0,-1,35,Guyana,735554,91.8,47,8963.312007,,2009
23,177,0,-1,37,Honduras,8598561,85.1,192,4562.391312,,2009
21,181,0,-1,45,Hungary,9919128,99,1012,19820.29065,,2009
24,179,1,15,52,Iceland,317351,99,95,41310.72535,,2009
23,177,0,-1,110,India,1236344631,62.8,66,4036.091455,,2009
20,178,0,-1,43,Indonesia,253609643,92.8,68,5066.842036,,2009
20,175,0,-1,57,Ireland,4595000,99,94,47399,,2009
20,176,0,-1,84,Israel,7821850,97.1,65,34927.79841,,2009
25,175,0,-1,71,Italy,61680122,99,152,29263.88505,,2009
25,175,0,-1,52,Jamaica,2930050,87,151,8576.64545,,2009
25,170,0,-1,228,Japan,127103388,99,66,37205.93191,,2009
24,168,0,-1,55,"Korea, South",49039986,97.9,68,33972.27724,,2009
18,173,1,2,145,Kosovo,1824000,91.9,5,3815,,2009
19,169,0,-1,58,Lebanon,5882562,89.6,70,10932.31147,,2009
