Age,Height,Winner,Rank,Country Score,Country,Population,Literacy,Country Age,"GDP
pre
capita
",Beauty Scores,Year
19,179,,,56,Albania,3020209,96.8,101,9383.4565753562,10.486,2014
21,177,,,95,Angola,19088106,70.4,38,6904.8233491579,9.379,2014
23,178,,,71,Argentina,43024374,97.9,197,17920.0747929534,10.884,2014
20,181,,,48,Aruba,102911,96.8,28,24924,6.276,2014
21,178,,,119,Australia,22507617,99,112,44353.8736242047,12.48,2014
19,175,,,64,Austria,8223062,98,95,43900.9215788474,12.177,2014
24,179,,,35,Azerbaijan,9686210,99.8,22,10602.7021920855,17.05,2014
22,182,,,35,"Bahamas, The",321834,95.6,40,35421.9877328063,11.75,2014
22,178,,,47,Belgium,10449361,99,183,40356.5347201614,16.622,2014
25,171,,,39,Bolivia,10631486,91.2,188,5559.900092988,5.674,2014
20,168,,,145,Brazil,202656788,90.4,191,11921.6337327916,11.702,2014
25,160,,,35,"British Virgin
Islands
",23552,97.8,53,43366,15.368,2014
26,173,,,89,Canada,34834841,99,146,43577.0612531287,9.702,2014
24,180,,,80,China,1355692576,95.1,64,9876.8704919131,5.076,2014
21,178,,,133,Colombia,46245297,93.6,203,11384.9414784816,10.655,2014
21,178,,,40,Costa Rica,4755234,96.3,192,12918.3968654329,8.883,2014
18,180,,,35,Côte d'Ivoire,22848945,56.9,53,1911.2479810337,14.579,2014
25,171,,,43,Croatia,4470534,98.9,22,17648.8983195296,12.097,2014
27,178,,,49,Curacao,152760,80,35,36800,9.742,2014
19,173,,,39,Cyprus,1141000,98,54,25248,10.634,2014
20,178,,,56,Czech Republic,10627448,99,20,26873.8082745735,10.24,2014
26,183,,,77,Dominican Republic,10349741,90.1,169,9758.6983094553,16.717,2014
22,180,,,44,Ecuador,15654411,91.6,191,10067.4499985978,6.793,2014
20,174,,,35,Egypt,86895099,73.9,91,6345.5822750142,13.322,2014
21,176,,,51,El Salvador,6125512,84.5,192,7749.5562819892,11.107,2014
21,179,,,128,Finland,5268799,100,96,37105.2302431731,13.337,2014
22,175,,,35,Gabon,1672597,89,53,17972.0518451247,8.493,2014
19,170,,,85,Germany,80996685,99,142,39841.1367082492,13.063,2014
21,175,,,39,Ghana,25758108,71.5,56,3509.9627658988,11.439,2014
24,182,,,39,United Kingdom,63742977,99,306,37447.2626215748,14.193,2014
24,178,,,81,Greece,10775557,97.3,184,24787.5817463543,16.411,2014
27,175,,,49,Guam,165124,95.91,79,28700,16.459,2014
21,175,,,40,Guatemala,14647083,75.9,192,5564.9305735483,8.929,2014
23,177,,,35,Guyana,735554,91.8,47,8963.3120070043,4.553,2014
20,179,,,37,Honduras,8598561,85.1,192,4562.3913117555,18.163,2014
20,180,,,45,Hungary,9919128,99,1012,19820.2906545817,5.854,2014
21,175,,,110,India,1236344631,62.8,66,4036.0914545032,4.012,2014
21,178,,,43,Indonesia,253609643,92.8,68,5066.8420364442,10.972,2014
22,179,,,57,Ireland,4595000,99,94,47399,8.581,2014
20,182,,,84,Israel,7821850,97.1,65,34927.7984108619,13.809,2014
21,175,,,52,Jamaica,2930050,87,151,8576.6454497364,11.698,2014
20,173,,,228,Japan,127103388,99,66,37205.9319142618,9.847,2014
25,179,,,35,Kazakhstan,17948816,99.7,22,13571.9258585079,7.602,2014
20,165,,,35,Keny,44350000,72.2,50,2790,4.547,2014
22,171,,,55,"Korea, South",49039986,97.9,68,33972.2772351526,7.321,2014
21,180,,,145,Kosovo,1824000,91.9,5,3815,8.996,2014
23,178,,,35,Kyrgyzstan,5776500,98.7,23,1070,5.271,2014
24,172,,,58,Lebanon,5882562,89.6,70,10932.3114656505,4.342,2014
18,173,,,35,Lithuania,3505738,99.7,23,19234.181219475,6.63,2014
25,180,,,36,Malaysia,30073353,93.1,56,17457.315118803,13.583,2014
20,160,,,35,Mauritius,1331155,88.8,45,15738.2123043522,13.672,2014
23,174,,,95,Mexico,120286655,93.5,203,15338.3598538009,15.544,2014
19,180,,,35,Montenegro,647905,99,1484,7340,6.461,2014
19,174,,,35,Myanmar,53260000,93,969,4344,11.573,2014
22,179,,,74,Namibia,2198406,88.8,23,8092.2268225251,6.964,2014
20,181,,,72,Netherlands,16877351,99,434,41457.9278466153,14.17,2014
24,181,,,62,New Zealand,4401916,99,106,30895.6372634098,2.425,2014
27,173,,,42,Nicaragua,5848641,78,192,4782.307548027,13.349,2014
21,178,,,38,Nigeria,177155754,61.3,53,2701.0130306013,11.411,2014
18,180,,,91,Norway,5147792,100,108,54819.6197515362,10.022,2014
23,173,,,61,Panama,3608431,94.1,110,17054.5037441481,6.872,2014
20,172,,,57,Paraguay,6703860,93.9,202,6846.8016933528,9.827,2014
25,183,,,66,Peru,30147935,89.6,192,11410.4000821283,2.014,2014
26,170,,,113,Philippines,107668231,95.4,115,4219.4433379332,14.243,2014
23,177,,,62,Poland,38346279,99.7,95,21227.6137666447,12.296,2014
24,178,,,37,Portugal,10427301,95.4,885,21748,2.901,2014
23,175,,,139,Puerto Rico,3615000,92,115,28529,3.177,2014
24,179,,,104,Russia,142470272,99.7,22,17919.5278015613,8.973,2014
24,179,,,35,Rwanda,12012589,65.9,51,1538,9.244,2014
21,175,,,35,Serbia,7209764,98,7,11161.2529896956,13.975,2014
23,170,,,38,Singapore,5567301,95.9,48,60891.264905562,4.7,2014
22,180,,,39,Slovak Republic,5415949,92,95,21664,17.949,2014
20,183,,,41,Slovenia,1988292,99.7,22,28848.8813514313,4.852,2014
22,178,,,115,South Africa,48375645,93,103,12314.0476990023,17.232,2014
21,178,,,102,Spain,47737941,97.7,521,29096.3533596893,14.585,2014
24,182,,,43,Sri Lanka,21866445,91.2,65,6150.9769878003,15.232,2014
22,177,,,35,St. Lucia,173765,90.1,34,7769,5.296,2014
26,173,,,133,Sweden,9723809,99,490,40498.5330337114,2.908,2014
20,179,,,60,Switzerland,8061516,99,722,46045.9298226289,13.554,2014
20,176,,,45,Tanzania,49639138,67.8,49,1597.3283017123,9.665,2014
20,185,,,78,Thailand,67741401,93.5,775,9934.8402906518,9.141,2014
24,180,,,90,"Trinidad and
Tobago
",1223916,98.8,51,22174.7244091915,13.664,2014
19,177,,,39,Turkey,81619392,73.29,90,14298.0726933129,10.675,2014
20,180,,,37,"Turks &
Caicos
",31458,98,29,11500,11.799,2014
19,176,,,84,Ukraine,44291413,99.7,22,7617.7294230825,7.906,2014
23,178,,,43,Uruguay,3332972,76.81,189,17121,11.368,2014
24,173,,,275,United States,319163000,99,237,52637.6804328823,9.275,2014
19,178,,,240,Venezuela,28868486,95.5,202,14112.2745404799,5.349,2014
